0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
12774.356,13303.979,12993.71,11638.198,12094.0,12118.0,13091.0,12623.0,12751.0,14510.0,12946.0,12055.0,11929.0,12598.0,13821.0,13384.0,11513.897,11801.35,15521.098,11376.123,11441.992,11941.461,10789.727
12270.879,12785.161,12666.472,11135.536,11390.0,11385.0,12348.0,11854.0,12179.0,13930.0,12262.0,11430.0,11297.0,11953.0,13280.0,12809.0,10964.352,11267.906,15069.608,10852.129,11021.235,11505.917,10320.195
11954.372,12555.001,12555.899,10804.521,10883.0,10847.0,11842.0,11293.0,11749.0,13526.0,11792.0,10966.0,10815.0,11489.0,12885.0,12397.0,10574.445,10861.76,14780.596,10457.849,10717.157,11243.501,9972.371
11828.352,12536.859,12478.042,10921.623,10644.0,10576.0,11586.0,11014.0,11508.0,13389.0,11513.0,10725.0,10571.0,11239.0,12729.0,12194.0,10385.898,10647.576,14659.693,10231.728,10594.3,11166.091,9779.883
11882.091,12841.478,12815.009,11333.917,10633.0,10505.0,11549.0,10994.0,11545.0,13429.0,11522.0,10672.0,10538.0,11253.0,12779.0,12224.0,10421.392,10626.826,14744.025,10190.673,10697.451,11281.033,9777.168
11921.128,13909.561,13901.738,12725.663,10891.0,10679.0,11710.0,11181.0,11841.0,13724.0,11821.0,10852.0,10733.0,11551.0,13137.0,12538.0,10720.206,10799.279,15037.248,10407.376,11021.935,11644.132,9949.129
12236.598,15733.947,14972.068,15071.395,11376.0,11078.0,12077.0,11572.0,12293.0,14227.0,12263.0,11255.0,11128.0,12025.0,13633.0,13014.0,11183.823,11175.825,15525.133,10771.918,11499.809,12161.472,10320.81
12784.292,16503.962,15549.652,16536.891,11677.0,11429.0,12478.0,11975.0,12579.0,14529.0,12581.0,11583.0,11470.3,12386.9,13971.4,13300.5,11560.636,11540.427,15948.442,11071.57,11855.218,12576.129,10763.379
13956.631,17020.933,17541.364,16746.733,12310.0,12111.0,13206.0,12639.0,13214.0,15124.0,13194.0,12238.0,12093.3,13013.5,14541.5,13817.6,12150.316,12134.854,16638.579,11575.386,12363.745,13064.192,11339.938
14865.612,17635.362,17643.738,17219.11,13071.0,12896.0,14049.0,13639.0,14056.0,15785.0,13974.0,12877.0,12697.3,13773.5,15153.9,14389.5,12894.595,12702.451,17309.215,12230.931,12902.59,13447.66,12084.5
15492.811,17050.612,17484.199,17206.984,13658.0,13488.0,14666.0,14578.0,14830.0,16273.0,14602.0,13349.0,13079.7,14386.8,15598.5,14813.4,13425.348,13117.308,17786.413,12722.814,13363.567,13700.305,12724.565
16763.561,17240.732,17114.147,17346.685,14015.0,13812.0,15031.0,15192.0,15427.0,16495.0,14892.0,13510.0,13235.1,14763.4,15830.2,14982.0,13729.399,13342.26,17990.844,13000.758,13661.133,13894.061,13153.439
16738.178,16771.358,16782.014,16215.021,14018.0,13828.0,15235.0,15382.0,15776.0,16484.0,14913.0,13492.0,13305.1,14862.7,15895.9,14941.7,13885.008,13433.235,18005.192,13096.665,13808.497,14018.377,13316.914
16684.764,16608.213,16614.322,15837.873,13826.0,13637.0,15139.0,15286.0,15758.0,16285.0,14795.0,13314.0,13174.8,14796.0,15724.3,14794.6,13886.862,13281.48,17829.645,13038.76,13787.923,13992.442,13295.458
16225.697,16388.075,16403.017,15725.998,13591.0,13446.0,14979.0,15112.0,15669.0,16075.0,14687.0,13156.0,13033.6,14817.9,15604.0,14633.5,13870.261,13173.947,17687.703,13036.506,13734.434,13976.715,13165.972
16213.677,16465.777,16832.337,15865.503,13716.0,13571.0,15089.0,15276.0,15763.0,16211.0,14839.0,13364.0,13099.6,15102.2,15768.9,14760.1,14074.374,13249.266,17831.419,13263.105,13907.008,14186.861,13171.371
16927.099,16826.406,18087.87,16760.103,15053.0,14827.0,16278.0,16354.0,16763.0,17446.0,15997.0,14632.0,14378.6,16500.4,17004.6,15895.1,15008.764,14281.52,18895.352,14298.419,14808.387,15149.31,13821.044
18151.53,18539.78,19753.808,17901.118,16421.0,16244.0,17401.0,17101.0,17869.0,18844.0,17028.0,15653.0,15582.0,17830.0,18231.0,17024.0,15727.377,15391.731,20012.58,15311.064,15743.772,15808.122,14285.41
17971.116,18105.78,19545.545,18365.497,16324.0,16224.0,17242.0,16834.0,17657.0,18718.0,16820.0,15504.0,15477.0,17747.0,18149.0,16848.0,15511.834,15337.386,19864.199,15167.846,15549.624,15495.234,13999.065
17649.82,17770.178,19023.222,17728.415,15969.0,15889.0,16807.0,16319.0,17145.0,18302.0,16336.0,15088.0,15008.0,17341.0,17750.0,16391.0,15103.224,15005.817,19460.387,14763.304,15125.505,14962.911,13515.998
16973.223,17706.591,18238.549,17374.41,15484.0,15445.0,16262.0,15600.0,16412.0,17718.0,15797.0,14579.0,14451.0,16699.0,17156.0,15853.0,14642.164,14573.74,18811.864,14199.123,14533.007,14378.47,12977.389
15824.618,16761.323,16838.602,16338.009,14700.0,14781.0,15363.0,14482.0,15294.0,16879.0,15027.0,13882.0,13672.0,15676.0,16159.0,15051.0,13968.643,13942.013,17873.268,13380.73,13712.575,13683.403,12380.943
13928.599,16310.781,15122.417,14955.614,13567.0,13850.0,14264.0,13043.0,13934.0,15743.0,14014.0,12931.0,12688.0,14365.0,14912.0,13943.0,13083.417,13091.385,16639.854,12384.992,12687.501,12857.362,11633.412
12813.057,14891.905,13928.505,13516.872,12466.0,12800.0,13095.0,11839.0,12749.0,14596.0,12945.0,11883.0,11620.0,13230.0,13783.0,12885.0,12162.752,12248.148,15625.565,11558.067,11801.446,12055.076,10857.704
12002.363,13957.883,13293.959,12466.887,11603.0,11865.0,12175.0,11014.0,11974.0,13736.0,12093.0,10978.0,10721.0,12547.0,13041.0,12093.0,11431.143,11620.655,14989.671,11023.505,11224.864,11419.634,10235.366
11467.013,13580.037,12719.475,11874.409,11153.0,11341.0,11640.0,10541.0,11578.0,13229.0,11538.0,10406.0,10183.0,12215.0,12682.0,11588.0,11013.796,11254.933,14678.553,10793.157,10908.916,10970.704,9821.249
11152.682,13331.661,12400.054,11547.322,10968.0,11086.0,11375.0,10350.0,11437.0,12965.0,11273.0,10089.0,9917.0,12099.0,12517.0,11362.0,10785.597,11093.713,14562.606,10758.36,10807.02,10729.599,9589.393
11090.075,13460.623,12488.407,11753.438,10952.0,11022.0,11311.0,10375.0,11469.0,12908.0,11190.0,9982.0,9863.0,12196.0,12589.0,11357.0,10735.563,11126.929,14601.761,10879.66,10889.198,10616.976,9502.973
11112.034,13666.24,12922.709,12009.322,11178.0,11123.0,11480.0,10746.0,11845.0,13130.0,11294.0,10031.0,10086.0,12635.0,12991.0,11618.0,10824.685,11362.216,14974.557,11325.741,11292.703,10662.092,9571.609
12372.457,15020.311,14309.287,13433.84,11919.0,11415.0,11991.0,11885.0,13032.0,13827.0,11669.0,10289.0,10636.0,13860.0,14056.0,12365.0,11252.359,11900.932,15991.233,12470.02,12286.773,10933.621,9807.321
13977.428,17542.559,16853.262,14915.729,13212.0,12039.0,12839.0,14159.0,15181.0,14980.0,12352.0,10818.0,11453.0,15970.0,15752.0,13521.0,11930.472,12666.331,17739.318,14283.593,13921.493,11429.745,10230.913
14653.63,18799.387,18021.245,17153.468,14472.0,12652.0,13533.0,15462.0,16517.0,15943.0,13076.0,11444.0,12117.9,17103.7,16993.4,14444.8,12565.903,13289.303,18796.04,15352.204,14887.726,11993.72,10790.845
15177.104,19001.389,17193.278,18181.03,15451.0,13565.0,14381.0,15799.0,16929.0,16719.0,14032.0,12346.0,12963.9,17322.6,17568.1,15069.6,13372.254,14015.765,19090.039,15565.223,15144.487,12739.25,11513.104
14751.338,18808.709,17284.444,17510.585,16252.0,14350.0,15203.0,16026.0,17183.0,17269.0,14947.0,13274.0,13840.6,17451.6,18076.6,15484.4,13979.094,14693.296,19188.43,15592.115,15239.947,13457.582,12287.696
15537.541,18680.996,17019.009,17580.126,16679.0,14776.0,15689.0,16237.0,17392.0,17468.0,15530.0,13816.0,14468.9,17499.7,18476.3,15680.4,14280.212,15103.204,19184.68,15614.643,15273.792,13893.325,12865.919
16141.966,18590.244,17091.843,17261.697,16799.0,14983.0,15803.0,16255.0,17422.0,17400.0,15809.0,14103.0,14738.8,17424.5,18765.0,15721.8,14316.538,15222.323,19057.796,15564.756,15116.756,14104.504,13326.973
15836.089,18046.592,16969.665,17227.001,16633.0,15057.0,15695.0,16153.0,17321.0,17163.0,15861.0,14228.0,14726.6,17270.9,18843.6,15611.1,14210.243,15164.933,18825.727,15405.19,14915.784,13994.0,13596.296
15789.143,17851.175,16918.613,17496.252,16368.0,15004.0,15486.0,16060.0,17267.0,16873.0,15718.0,14154.0,14611.0,17193.8,18863.6,15444.4,13977.786,15034.923,18625.022,15310.484,14715.914,13721.921,13649.21
15328.077,17327.013,16422.88,17572.603,16189.0,15036.0,15348.0,15942.0,17189.0,16634.0,15603.0,14055.0,14548.7,17118.6,18792.4,15276.1,13869.202,14941.903,18525.776,15260.523,14577.815,13591.775,13609.578
15812.96,17234.125,16836.486,17402.312,16233.0,15367.0,15641.0,16018.0,17405.0,16670.0,15768.0,14197.0,14760.0,17305.1,18822.7,15318.5,14003.792,15094.608,18550.066,15440.686,14642.255,13676.486,13707.723
17103.546,18076.507,17680.112,17990.719,17109.0,16772.0,17112.0,17248.0,18778.0,17698.0,16977.0,15453.0,16138.5,18431.5,19868.2,16315.8,14998.018,16105.128,19359.901,16382.447,15445.78,14594.675,14557.504
18110.973,19111.773,18879.409,18664.568,17925.0,17821.0,18385.0,18789.0,20248.0,18685.0,18132.0,16531.0,17514.0,19653.0,20794.0,17358.0,15973.872,17003.63,20379.763,17313.8,16290.739,15489.313,15210.074
17433.484,18268.696,18710.413,18508.102,17576.0,17667.0,18223.0,18730.0,20345.0,18394.0,18019.0,16410.0,17377.0,19592.0,20514.0,17114.0,15847.551,16724.94,20359.419,17226.18,16129.312,15308.384,15020.004
16725.421,18237.529,18120.389,17757.039,16960.0,17170.0,17764.0,18245.0,19941.0,17796.0,17547.0,15954.0,16950.0,19202.0,19887.0,16649.0,15437.565,16209.934,19962.979,16811.462,15664.5,14851.614,14631.608
16172.578,17665.962,17460.461,17148.508,16285.0,16401.0,17020.0,17526.0,19354.0,17177.0,17032.0,15337.0,16266.0,18528.0,19130.0,16112.0,14983.233,15503.323,19279.251,16138.503,15020.622,14301.758,14099.13
15067.685,17083.231,16550.818,16261.568,15382.0,15254.0,15890.0,16327.0,18279.0,16313.0,16234.0,14347.0,15193.0,17398.0,18057.0,15326.0,14289.292,14448.368,18189.779,15117.632,14070.84,13658.607,13398.442
13970.555,16021.59,14911.331,15231.307,14197.0,13819.0,14364.0,14624.0,16690.0,15184.0,15219.0,13178.0,13861.0,15900.0,16807.0,14283.0,13379.072,13157.041,16749.306,13824.487,12875.403,12872.933,12567.745
12456.348,14833.873,13710.229,14180.157,12929.0,12492.0,13022.0,13148.0,15319.0,13978.0,14170.0,12106.0,12635.0,14572.0,15683.0,13251.0,12437.439,12027.134,15537.236,12709.911,11787.792,12114.558,11798.291
11459.893,14108.956,12698.731,13457.874,11888.0,11580.0,12117.0,12267.0,14422.0,13003.0,13317.0,11400.0,11824.0,13792.0,14922.0,12395.0,11646.843,11304.673,14778.397,11972.105,11072.908,11511.824,11284.385
10903.389,13579.964,12128.738,12909.874,11244.0,11083.0,11683.0,11805.0,14005.0,12404.0,12788.0,11059.0,11417.0,13405.0,14443.0,11944.0,11142.86,10878.527,14391.429,11568.17,10677.987,11135.779,11012.967
10526.196,13388.565,12041.628,12556.607,10901.0,10836.0,11505.0,11652.0,13853.0,12098.0,12514.0,10959.0,11239.0,13247.0,14268.0,11700.0,10873.132,10694.944,14235.827,11358.879,10475.367,10956.797,10956.099
10782.607,13460.571,12117.091,12456.235,10751.0,10774.0,11516.0,11657.0,13893.0,11955.0,12392.0,11073.0,11282.0,13316.0,14269.0,11638.0,10781.183,10712.661,14258.425,11340.404,10457.543,10921.577,11076.086
10992.516,13665.725,12610.576,12816.372,10790.0,11033.0,11870.0,12020.0,14298.0,12022.0,12431.0,11485.0,11694.0,13704.0,14530.0,11768.0,10839.049,11085.471,14618.637,11637.774,10763.271,11023.112,11481.306
12088.482,14793.64,13648.339,12891.34,11132.0,12101.0,12986.0,13190.0,15479.0,12378.0,12744.0,12645.0,12890.0,14874.0,15219.0,12157.0,11112.343,12161.982,15641.087,12575.179,11649.659,11309.779,12397.896
