2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.007007,0.009597,0.010000,0.002592,0.006206,0.009995,0.006001,0.001200,0.006412,0.005998,0.005005,0.010199,0.010600,0.008159,0.005420,0.010794,0.005003,0.009575,0.004414,0.004416,0.009401,0.010604,0.001595
0.079685,0.125964,0.118026,0.030936,0.053304,0.128389,0.073290,0.009796,0.057696,0.041390,0.047676,0.103036,0.132354,0.092258,0.122119,0.136309,0.042216,0.113901,0.041452,0.032730,0.116661,0.129075,0.009845
0.199156,0.286159,0.285107,0.071278,0.111414,0.317947,0.202555,0.012614,0.068482,0.120772,0.101717,0.246298,0.328015,0.214554,0.322193,0.322198,0.106008,0.256673,0.162187,0.105473,0.284000,0.313070,0.021819
0.272326,0.453387,0.286077,0.083083,0.187584,0.457827,0.284218,0.033394,0.111986,0.236000,0.276692,0.277277,0.500707,0.294405,0.472084,0.483319,0.164477,0.406180,0.269569,0.273746,0.370845,0.410877,0.028422
0.285824,0.535240,0.269329,0.104714,0.274769,0.504968,0.290085,0.058346,0.090083,0.258518,0.290901,0.290644,0.596698,0.262399,0.568846,0.566189,0.185623,0.526195,0.357676,0.432269,0.396761,0.407207,0.028843
0.349024,0.517283,0.315456,0.109573,0.291701,0.456972,0.279090,0.050071,0.058304,0.224284,0.254219,0.277981,0.546161,0.268587,0.553394,0.558948,0.160363,0.542648,0.294296,0.467109,0.335819,0.328156,0.039586
0.266856,0.410183,0.393372,0.065757,0.379591,0.369288,0.171626,0.038835,0.058740,0.149680,0.187879,0.198261,0.395351,0.231582,0.437644,0.437258,0.119320,0.466232,0.344469,0.399805,0.250427,0.206868,0.038837
0.169883,0.223333,0.207650,0.048902,0.254439,0.232161,0.113367,0.027577,0.035149,0.099373,0.102597,0.114393,0.257541,0.167375,0.256246,0.271300,0.065314,0.287196,0.216498,0.211744,0.168180,0.110184,0.029411
0.075305,0.085949,0.070588,0.018978,0.096021,0.066140,0.060433,0.010603,0.015178,0.032361,0.042341,0.051498,0.093290,0.072008,0.070939,0.075273,0.017421,0.107480,0.075446,0.075290,0.066765,0.044326,0.011790
0.004197,0.006801,0.007994,0.000399,0.006209,0.004974,0.005212,0.000801,0.000201,0.003395,0.005193,0.004584,0.007403,0.006989,0.006000,0.004004,0.001200,0.008583,0.004982,0.004190,0.004000,0.002180,0.000397
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.002603,0.010601,0.010797,0.003398,0.001401,0.009785,0.006404,0.009806,0.006396,0.005988,0.003199,0.005599,0.008157,0.010604,0.003779,0.008387,0.009790,0.005199,0.005194,0.010406,0.005233,0.005183,0.001787
0.019687,0.113321,0.136259,0.046287,0.020575,0.116903,0.077561,0.113085,0.073229,0.037930,0.026249,0.058117,0.091806,0.130053,0.048340,0.104434,0.111407,0.035841,0.041955,0.123346,0.047625,0.037019,0.022103
0.052810,0.274023,0.335870,0.104803,0.034662,0.281521,0.216948,0.255504,0.199161,0.089139,0.057777,0.105531,0.213239,0.306863,0.087901,0.219067,0.285004,0.075904,0.131957,0.248387,0.200115,0.091159,0.060931
0.088158,0.379622,0.485758,0.168474,0.053298,0.376857,0.300126,0.485838,0.248270,0.181874,0.092161,0.170502,0.328875,0.461809,0.099251,0.310084,0.411719,0.180120,0.218195,0.382881,0.301378,0.182236,0.071185
0.085599,0.409466,0.569000,0.327991,0.067960,0.391626,0.303530,0.579774,0.259423,0.195776,0.116270,0.223975,0.364691,0.494941,0.096643,0.292174,0.475703,0.195989,0.452740,0.506206,0.411163,0.270749,0.075582
0.120400,0.473518,0.535808,0.289503,0.053435,0.331632,0.253501,0.566023,0.270458,0.159485,0.101914,0.168929,0.344926,0.415185,0.111963,0.306970,0.403456,0.174285,0.431297,0.517314,0.477157,0.315555,0.061469
0.092374,0.339865,0.462535,0.243143,0.121018,0.201171,0.194041,0.471155,0.315800,0.107936,0.069794,0.098772,0.278584,0.271489,0.066790,0.283678,0.334161,0.101260,0.347621,0.436989,0.392744,0.220353,0.051599
