2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
-4.326,-3.952,-4.067,4.731,3.061,6.161,-2.117,0.159,-4.33,-12.562,-1.616,2.555,2.877,0.054,-5.835,-5.342,0.839,2.606,-16.718,3.057,1.782,-0.34,5.797
-3.55,-4.667,-4.559,4.669,2.395,6.521,-2.608,0.935,-4.046,-12.618,-2.005,1.893,2.386,0.442,-6.778,-5.17,0.289,2.385,-16.95,3.825,1.442,-1.274,5.842
-3.824,-4.499,-4.607,4.339,2.342,6.51,-2.611,0.835,-4.168,-12.623,-1.952,2.056,2.219,0.501,-7.064,-5.117,0.393,1.946,-17.342,4.112,0.505,-1.329,5.847
-3.946,-5.0,-4.56,3.562,2.34,6.497,-2.944,1.054,-3.958,-13.115,-2.006,1.947,1.832,0.227,-8.001,-4.666,-0.324,2.436,-17.806,4.825,0.397,-2.324,5.897
-3.506,-5.28,-5.17,3.17,1.842,6.229,-3.504,1.328,-4.057,-13.399,-2.059,2.114,2.002,-0.329,-8.113,-4.998,-0.386,2.442,-18.029,5.39,-0.157,-3.044,6.325
-3.945,-6.001,-5.171,2.944,1.773,5.945,-3.558,1.66,-3.727,-13.739,-2.114,2.002,2.386,0.003,-8.334,-5.17,-0.216,2.226,-18.664,6.22,-0.44,-3.271,6.275
-3.727,-6.278,-5.444,2.113,0.946,5.884,-3.941,2.212,-3.011,-13.958,-2.778,2.168,2.278,-0.217,-8.99,-5.111,-0.102,2.223,-18.683,6.797,-0.994,-3.713,6.215
-3.886,-6.495,-5.612,1.494,0.62,4.818,-3.565,2.114,-2.634,-14.644,-2.894,3.086,2.0,-0.763,-9.042,-4.901,-0.532,1.988,-19.29,7.599,-0.767,-3.169,5.94
-3.333,-6.16,-5.939,0.99,1.286,3.724,-3.497,2.676,-2.158,-14.775,-2.904,2.425,2.32,-1.458,-9.327,-5.172,-0.417,1.337,-19.177,7.56,-0.822,-2.832,6.53
-0.948,-5.723,-4.39,1.177,2.626,4.827,-3.327,3.38,-0.964,-14.227,-2.188,4.159,3.342,-2.25,-8.213,-4.386,0.309,1.965,-17.739,7.71,-0.196,-0.819,5.786
1.107,-5.169,-3.158,1.723,3.503,5.871,-3.16,4.354,0.03,-12.26,-0.969,5.701,5.598,-2.978,-6.867,-3.171,1.365,2.819,-16.452,7.175,0.913,0.721,5.891
2.836,-4.672,-2.21,1.507,3.411,7.904,-2.845,5.006,0.319,-11.546,0.306,7.407,6.944,-3.374,-6.152,-2.22,2.254,3.849,-14.811,7.458,1.018,1.643,6.387
4.223,-3.392,-1.232,1.608,4.068,8.311,-1.621,6.201,0.923,-10.279,1.293,7.947,8.374,-2.785,-5.408,-1.338,2.644,3.923,-13.631,7.155,2.094,2.372,6.434
5.235,-2.439,-1.014,2.266,4.387,8.086,-1.307,6.704,1.435,-9.801,1.663,7.8,8.926,-3.054,-4.537,-1.358,2.788,4.571,-12.546,7.25,2.495,2.378,7.006
5.909,-1.334,-1.118,1.347,5.057,7.89,-0.643,6.928,1.968,-9.223,2.047,7.864,9.335,-3.393,-3.827,-0.493,2.474,4.419,-12.038,6.209,2.611,2.381,6.827
5.52,-2.151,-1.219,1.566,5.272,7.6,-0.302,6.978,2.097,-9.413,2.216,7.11,9.603,-3.621,-4.041,0.321,2.457,4.552,-11.885,5.737,2.51,2.166,6.862
5.113,-2.724,-1.776,2.17,4.333,6.056,-1.004,7.616,2.443,-8.883,1.056,6.804,7.871,-4.356,-5.038,-0.392,2.672,2.907,-12.334,5.005,2.331,1.438,7.285
3.661,-3.386,-2.21,2.664,2.273,5.165,-0.294,8.206,2.77,-8.503,0.937,6.663,6.994,-4.204,-5.608,-0.342,2.667,0.958,-13.445,3.394,1.722,1.499,7.461
2.992,-4.605,-2.226,2.052,1.279,3.676,-1.007,7.713,1.997,-8.951,0.33,6.338,6.925,-5.048,-5.717,-0.391,2.22,0.278,-14.275,2.454,1.279,1.445,7.104
